iter	Passed	Remaining
0	44	44785
1	92	46371
2	144	47903
3	192	47992
4	247	49236
5	298	49445
6	349	49509
7	405	50296
8	473	52152
9	521	51651
10	571	51408
11	621	51184
12	674	51184
13	725	51067
14	776	50974
15	803	49434
16	853	49354
17	901	49159
18	952	49176
19	1001	49051
20	1052	49045
21	1065	47360
22	1177	50009
23	1239	50392
24	1320	51514
25	1410	52835
26	1483	53456
27	1543	53585
28	1604	53739
29	1663	53790
30	1727	53996
31	1805	54605
32	1856	54408
33	1920	54566
34	1961	54072
35	2016	54008
36	2074	53988
37	2130	53947
38	2191	54010
39	2251	54047
40	2306	53958
41	2364	53932
42	2425	53978
43	2478	53852
44	2507	53210
45	2558	53061
46	2608	52893
47	2660	52767
48	2713	52654
49	2765	52541
50	2816	52400
51	2889	52676
52	2945	52636
53	3001	52573
54	3014	51792
55	3043	51303
56	3107	51410
57	3163	51378
58	3218	51335
59	3278	51364
60	3329	51251
61	3394	51354
62	3418	50845
63	3469	50740
64	3521	50651
65	3572	50556
66	3585	49934
67	3635	49825
68	3690	49793
69	3715	49365
70	3769	49327
71	3822	49261
72	3877	49233
73	3929	49176
74	3945	48655
75	3997	48595
76	4048	48533
77	4098	48441
78	4149	48370
79	4178	48055
80	4232	48023
81	4285	47977
82	4296	47474
83	4346	47401
84	4408	47453
85	4460	47404
86	4509	47327
87	4561	47275
88	4610	47193
89	4659	47117
90	4690	46848
91	4707	46459
92	4762	46451
93	4817	46435
94	4871	46407
95	4927	46402
96	4979	46359
97	5017	46177
98	5073	46173
99	5127	46143
100	5181	46124
101	5217	45936
102	5268	45881
103	5322	45857
104	5381	45872
105	5434	45835
106	5486	45792
107	5535	45721
108	5588	45682
109	5640	45637
110	5693	45596
111	5741	45523
112	5794	45480
113	5844	45420
114	5899	45396
115	5951	45357
116	6004	45318
117	6018	44983
118	6072	44955
119	6126	44924
120	6181	44902
121	6194	44576
122	6244	44525
123	6293	44461
124	6352	44466
125	6402	44412
126	6454	44370
127	6503	44305
128	6556	44267
129	6605	44207
130	6659	44179
131	6676	43903
132	6728	43862
133	6780	43817
134	6829	43760
135	6886	43747
136	6939	43711
137	6990	43667
138	7042	43623
139	7096	43592
140	7146	43538
141	7178	43374
142	7229	43328
143	7286	43313
144	7337	43267
145	7390	43232
146	7403	42958
147	7453	42907
148	7509	42887
149	7562	42851
150	7595	42705
151	7649	42675
152	7703	42648
153	7717	42394
154	7770	42364
155	7784	42115
156	7815	41962
157	7865	41914
158	7918	41881
159	7947	41723
160	7995	41664
161	8049	41636
162	8103	41609
163	8159	41591
164	8211	41555
165	8266	41531
166	8318	41493
167	8372	41463
168	8435	41478
169	8488	41444
170	8541	41410
171	8595	41376
172	8645	41328
173	8696	41284
174	8751	41257
175	8802	41212
176	8850	41153
177	8909	41145
178	8958	41088
179	9010	41047
180	9060	40998
181	9116	40974
182	9175	40961
183	9231	40940
184	9288	40921
185	9341	40881
186	9390	40825
187	9443	40787
188	9495	40743
189	9547	40703
190	9597	40650
191	9650	40614
192	9703	40574
193	9715	40363
194	9766	40320
195	9817	40270
196	9870	40232
197	9921	40185
198	9973	40144
199	10021	40087
200	10075	40051
201	10125	40000
202	10179	39967
203	10230	39918
204	10288	39901
205	10339	39853
206	10392	39811
207	10422	39684
208	10473	39639
209	10523	39587
210	10580	39563
211	10635	39530
212	10689	39496
213	10738	39442
214	10757	39278
215	10809	39235
216	10867	39213
217	10918	39166
218	10972	39131
219	11030	39108
220	11086	39079
221	11141	39047
222	11198	39019
223	11254	38990
224	11293	38898
225	11345	38854
226	11371	38724
227	11425	38685
228	11486	38671
229	11538	38630
230	11593	38595
231	11648	38560
232	11704	38530
233	11759	38494
234	11811	38450
235	11865	38410
236	11921	38379
237	11976	38343
238	12033	38316
239	12088	38278
240	12143	38244
241	12199	38211
242	12258	38189
243	12316	38160
244	12367	38112
245	12425	38083
246	12437	37916
247	12456	37770
248	12507	37722
249	12521	37563
250	12572	37516
251	12624	37472
252	12674	37422
253	12733	37398
254	12783	37346
255	12796	37189
256	12845	37137
257	12896	37090
258	12947	37043
259	13001	37004
260	13052	36956
261	13101	36905
262	13154	36863
263	13210	36829
264	13266	36796
265	13318	36751
266	13367	36697
267	13420	36655
268	13474	36615
269	13531	36584
270	13591	36560
271	13644	36519
272	13699	36481
273	13752	36438
274	13801	36385
275	13856	36347
276	13912	36311
277	13963	36264
278	14016	36221
279	14064	36166
280	14117	36121
281	14171	36081
282	14225	36041
283	14276	35994
284	14328	35947
285	14386	35915
286	14438	35870
287	14496	35837
288	14551	35800
289	14603	35754
290	14655	35707
291	14707	35660
292	14758	35612
293	14783	35499
294	14833	35449
295	14886	35405
296	14935	35351
297	14986	35303
298	15035	35251
299	15086	35202
300	15137	35152
301	15166	35053
302	15218	35008
303	15274	34971
304	15323	34917
305	15375	34870
306	15428	34826
307	15480	34780
308	15530	34729
309	15581	34682
310	15637	34644
311	15693	34606
312	15748	34565
313	15802	34523
314	15855	34478
315	15911	34441
316	15967	34402
317	16017	34352
318	16068	34304
319	16122	34260
320	16179	34223
321	16229	34172
322	16280	34122
323	16330	34072
324	16381	34023
325	16431	33971
326	16480	33918
327	16531	33869
328	16579	33814
329	16634	33773
330	16685	33723
331	16737	33676
332	16788	33627
333	16842	33584
334	16894	33537
335	16960	33516
336	17011	33467
337	17062	33418
338	17114	33370
339	17170	33331
340	17227	33293
341	17277	33241
342	17330	33195
343	17384	33151
344	17435	33103
345	17484	33049
346	17536	33000
347	17586	32949
348	17637	32899
349	17687	32848
350	17737	32797
351	17790	32750
352	17845	32707
353	17895	32657
354	17948	32611
355	18001	32564
356	18053	32516
357	18104	32466
358	18167	32438
359	18220	32392
360	18275	32348
361	18330	32306
362	18382	32258
363	18432	32206
364	18483	32155
365	18534	32105
366	18587	32058
367	18640	32013
368	18694	31968
369	18747	31921
370	18798	31870
371	18852	31826
372	18902	31774
373	18952	31722
374	19010	31684
375	19063	31637
376	19117	31592
377	19174	31552
378	19224	31500
379	19276	31450
380	19325	31397
381	19376	31347
382	19432	31305
383	19486	31260
384	19540	31213
385	19597	31172
386	19653	31130
387	19706	31084
388	19760	31037
389	19812	30988
390	19867	30943
391	19921	30899
392	19976	30854
393	20028	30805
394	20081	30757
395	20139	30717
396	20190	30666
397	20241	30616
398	20295	30570
399	20350	30526
400	20404	30480
401	20453	30426
402	20505	30376
403	20554	30323
404	20609	30278
405	20662	30229
406	20717	30185
407	20768	30134
408	20819	30084
409	20875	30040
410	20951	30025
411	21005	29979
412	21065	29940
413	21119	29893
414	21170	29842
415	21222	29793
416	21280	29752
417	21335	29706
418	21389	29659
419	21443	29612
420	21492	29559
421	21546	29511
422	21598	29461
423	21651	29412
424	21703	29363
425	21758	29317
426	21811	29269
427	21863	29219
428	21922	29178
429	21973	29127
430	22028	29082
431	22090	29044
432	22147	29001
433	22203	28957
434	22254	28905
435	22307	28856
436	22362	28809
437	22415	28761
438	22472	28718
439	22526	28670
440	22581	28624
441	22633	28573
442	22685	28523
443	22736	28471
444	22786	28419
445	22837	28367
446	22887	28315
447	22939	28265
448	22988	28210
449	23047	28168
450	23099	28118
451	23151	28068
452	23200	28014
453	23256	27969
454	23313	27924
455	23368	27878
456	23421	27828
457	23472	27777
458	23525	27728
459	23576	27676
460	23628	27626
461	23686	27582
462	23739	27533
463	23797	27490
464	23853	27444
465	23909	27398
466	23961	27347
467	24023	27308
468	24078	27261
469	24131	27212
470	24189	27168
471	24244	27121
472	24305	27079
473	24361	27034
474	24415	26985
475	24467	26934
476	24521	26886
477	24575	26837
478	24629	26789
479	24685	26742
480	24740	26694
481	24793	26644
482	24849	26598
483	24903	26549
484	24958	26502
485	25021	26463
486	25076	26415
487	25132	26368
488	25187	26320
489	25240	26270
490	25294	26222
491	25347	26172
492	25400	26121
493	25454	26073
494	25512	26027
495	25571	25984
496	25629	25939
497	25692	25899
498	25750	25853
499	25811	25811
500	25873	25770
501	25929	25723
502	26002	25692
503	26066	25653
504	26126	25609
505	26189	25568
506	26247	25522
507	26308	25479
508	26371	25439
509	26429	25393
510	26485	25344
511	26545	25300
512	26607	25258
513	26667	25215
514	26725	25169
515	26778	25118
516	26841	25076
517	26899	25030
518	26961	24987
519	27037	24957
520	27102	24918
521	27160	24871
522	27216	24823
523	27273	24775
524	27340	24736
525	27400	24691
526	27457	24643
527	27512	24594
528	27566	24543
529	27619	24493
530	27676	24445
531	27733	24396
532	27787	24346
533	27841	24296
534	27894	24245
535	27950	24195
536	28013	24153
537	28069	24104
538	28125	24055
539	28181	24006
540	28238	23958
541	28297	23911
542	28351	23860
543	28405	23810
544	28459	23759
545	28517	23712
546	28576	23665
547	28633	23617
548	28686	23565
549	28740	23515
550	28794	23463
551	28848	23413
552	28900	23361
553	28954	23309
554	29015	23264
555	29073	23216
556	29134	23171
557	29195	23126
558	29254	23079
559	29322	23039
560	29393	23001
561	29462	22961
562	29530	22921
563	29592	22876
564	29658	22834
565	29718	22787
566	29773	22737
567	29831	22688
568	29888	22639
569	29945	22590
570	30022	22556
571	30081	22508
572	30140	22460
573	30198	22411
574	30254	22362
575	30313	22313
576	30372	22265
577	30425	22213
578	30485	22166
579	30545	22119
580	30607	22073
581	30673	22030
582	30732	21982
583	30789	21932
584	30848	21884
585	30910	21837
586	30982	21798
587	31050	21756
588	31112	21709
589	31169	21659
590	31227	21610
591	31285	21561
592	31346	21514
593	31404	21464
594	31464	21416
595	31522	21367
596	31584	21321
597	31643	21272
598	31707	21226
599	31767	21178
600	31826	21129
601	31884	21079
602	31947	21033
603	32020	20993
604	32084	20947
605	32147	20901
606	32204	20850
607	32257	20797
608	32312	20745
609	32367	20694
610	32422	20641
611	32473	20587
612	32531	20537
613	32585	20485
614	32642	20434
615	32697	20382
616	32751	20330
617	32808	20279
618	32862	20226
619	32917	20175
620	32977	20126
621	33036	20077
622	33092	20025
623	33145	19972
624	33203	19921
625	33259	19870
626	33314	19818
627	33370	19767
628	33423	19713
629	33482	19664
630	33537	19612
631	33592	19560
632	33645	19507
633	33698	19453
634	33748	19398
635	33799	19344
636	33847	19288
637	33899	19234
638	33949	19179
639	34006	19128
640	34058	19074
641	34107	19019
642	34162	18967
643	34215	18914
644	34266	18859
645	34315	18804
646	34366	18749
647	34418	18696
648	34467	18641
649	34519	18587
650	34568	18532
651	34619	18478
652	34667	18422
653	34718	18367
654	34767	18312
655	34818	18258
656	34868	18203
657	34919	18149
658	34976	18098
659	35028	18044
660	35082	17992
661	35135	17939
662	35183	17883
663	35234	17829
664	35283	17774
665	35333	17719
666	35383	17665
667	35432	17610
668	35483	17556
669	35534	17502
670	35584	17447
671	35633	17392
672	35685	17339
673	35734	17284
674	35785	17230
675	35836	17175
676	35886	17121
677	35944	17070
678	35995	17016
679	36046	16962
680	36094	16907
681	36147	16854
682	36196	16799
683	36248	16746
684	36303	16694
685	36351	16639
686	36401	16584
687	36450	16530
688	36500	16475
689	36550	16421
690	36599	16366
691	36649	16312
692	36700	16258
693	36750	16204
694	36796	16148
695	36848	16094
696	36899	16040
697	36956	15989
698	37006	15935
699	37056	15881
700	37107	15827
701	37160	15774
702	37211	15721
703	37263	15667
704	37312	15612
705	37359	15557
706	37410	15503
707	37459	15449
708	37509	15395
709	37559	15341
710	37609	15287
711	37661	15233
712	37712	15180
713	37762	15126
714	37811	15071
715	37862	15018
716	37910	14963
717	37968	14912
718	38020	14859
719	38069	14804
720	38120	14751
721	38170	14697
722	38219	14642
723	38270	14589
724	38321	14535
725	38370	14481
726	38420	14427
727	38468	14372
728	38519	14319
729	38568	14265
730	38617	14210
731	38668	14157
732	38720	14104
733	38771	14050
734	38822	13997
735	38871	13942
736	38929	13892
737	38978	13837
738	39028	13784
739	39078	13730
740	39127	13676
741	39177	13622
742	39229	13569
743	39277	13514
744	39327	13460
745	39382	13408
746	39430	13354
747	39481	13301
748	39531	13247
749	39582	13194
750	39630	13139
751	39682	13086
752	39731	13032
753	39781	12979
754	39847	12930
755	39902	12878
756	39953	12825
757	40008	12773
758	40061	12720
759	40110	12666
760	40162	12613
761	40212	12559
762	40264	12506
763	40313	12452
764	40365	12399
765	40414	12345
766	40466	12293
767	40517	12239
768	40567	12186
769	40619	12133
770	40672	12080
771	40722	12026
772	40774	11973
773	40824	11920
774	40883	11869
775	40933	11815
776	40983	11762
777	41032	11708
778	41097	11659
779	41147	11605
780	41197	11552
781	41246	11498
782	41296	11444
783	41346	11391
784	41396	11337
785	41446	11284
786	41496	11230
787	41546	11177
788	41600	11125
789	41650	11071
790	41701	11018
791	41751	10965
792	41801	10911
793	41857	10859
794	41910	10807
795	41957	10752
796	42007	10699
797	42060	10646
798	42111	10593
799	42161	10540
800	42211	10486
801	42261	10433
802	42310	10379
803	42360	10326
804	42409	10273
805	42460	10220
806	42510	10166
807	42561	10113
808	42611	10060
809	42659	10006
810	42711	9953
811	42758	9899
812	42816	9848
813	42867	9795
814	42915	9741
815	42964	9688
816	43015	9635
817	43065	9581
818	43114	9528
819	43165	9475
820	43215	9422
821	43265	9368
822	43315	9315
823	43363	9262
824	43414	9209
825	43462	9155
826	43512	9102
827	43565	9049
828	43614	8996
829	43663	8943
830	43713	8890
831	43762	8836
832	43818	8784
833	43876	8733
834	43926	8680
835	43976	8626
836	44027	8574
837	44076	8520
838	44125	8467
839	44177	8414
840	44226	8361
841	44276	8308
842	44327	8255
843	44374	8202
844	44425	8149
845	44475	8095
846	44523	8042
847	44573	7989
848	44622	7936
849	44673	7883
850	44722	7830
851	44769	7776
852	44827	7725
853	44878	7672
854	44928	7619
855	44976	7566
856	45030	7513
857	45083	7461
858	45132	7408
859	45181	7355
860	45238	7303
861	45289	7250
862	45336	7197
863	45385	7144
864	45435	7091
865	45484	7037
866	45535	6985
867	45585	6932
868	45633	6879
869	45684	6826
870	45732	6773
871	45797	6722
872	45847	6669
873	45897	6616
874	45946	6563
875	45995	6510
876	46045	6457
877	46093	6404
878	46144	6352
879	46194	6299
880	46244	6246
881	46294	6193
882	46343	6140
883	46392	6087
884	46443	6034
885	46491	5982
886	46542	5929
887	46591	5876
888	46640	5823
889	46693	5771
890	46745	5718
891	46800	5666
892	46850	5613
893	46900	5560
894	46958	5509
895	47009	5456
896	47061	5403
897	47113	5351
898	47162	5298
899	47214	5246
900	47264	5193
901	47320	5141
902	47370	5088
903	47419	5035
904	47470	4983
905	47519	4930
906	47570	4877
907	47619	4824
908	47670	4772
909	47718	4719
910	47771	4667
911	47822	4614
912	47870	4561
913	47922	4509
914	47971	4456
915	48022	4403
916	48071	4351
917	48122	4298
918	48170	4245
919	48223	4193
920	48272	4140
921	48321	4087
922	48372	4035
923	48422	3982
924	48474	3930
925	48525	3877
926	48576	3825
927	48625	3772
928	48675	3720
929	48731	3667
930	48783	3615
931	48832	3562
932	48881	3510
933	48932	3457
934	48980	3405
935	49029	3352
936	49081	3300
937	49136	3247
938	49186	3195
939	49235	3142
940	49286	3090
941	49335	3037
942	49386	2985
943	49434	2932
944	49485	2880
945	49535	2827
946	49585	2775
947	49632	2722
948	49688	2670
949	49745	2618
950	49797	2565
951	49846	2513
952	49895	2460
953	49946	2408
954	49995	2355
955	50045	2303
956	50093	2250
957	50145	2198
958	50194	2145
959	50244	2093
960	50293	2041
961	50359	1989
962	50410	1936
963	50458	1884
964	50513	1832
965	50562	1779
966	50612	1727
967	50665	1674
968	50719	1622
969	50771	1570
970	50820	1517
971	50869	1465
972	50918	1412
973	50967	1360
974	51018	1308
975	51067	1255
976	51118	1203
977	51168	1151
978	51217	1098
979	51267	1046
980	51316	993
981	51366	941
982	51416	889
983	51466	836
984	51516	784
985	51565	732
986	51619	679
987	51675	627
988	51729	575
989	51780	523
990	51830	470
991	51880	418
992	51930	366
993	51982	313
994	52032	261
995	52082	209
996	52132	156
997	52181	104
998	52231	52
999	52280	0
